25544549, 182736.827852, 192.0.85.1, 128.0.0.35, 74
25544550, 182736.827855, 192.0.85.1, 128.0.0.35, 74
25544718, 182920.596882, 192.0.85.1, 128.0.0.35, 75
25544719, 182920.596886, 192.0.85.1, 128.0.0.35, 75
25552096, 183100.765362, 192.0.85.1, 128.0.0.35, 75
25552097, 183100.765364, 192.0.85.1, 128.0.0.35, 75
25552578, 183106.558750, 192.0.85.1, 128.0.0.35, 70
25552579, 183106.558752, 192.0.85.1, 128.0.0.35, 70
25552594, 183106.702766, 192.0.85.1, 128.0.0.35, 70
25552595, 183106.702769, 192.0.85.1, 128.0.0.35, 70
25552610, 183106.923902, 192.0.85.1, 128.0.0.35, 94
25552611, 183106.923904, 192.0.85.1, 128.0.0.35, 94
25552633, 183107.323772, 192.0.85.1, 128.0.0.35, 68
25552634, 183107.323775, 192.0.85.1, 128.0.0.35, 68
25554101, 183126.730841, 192.0.85.1, 128.0.0.35, 60
25554102, 183126.730845, 192.0.85.1, 128.0.0.35, 60
25556408, 183166.776502, 192.0.85.1, 128.0.0.35, 60
25556409, 183166.776505, 192.0.85.1, 128.0.0.35, 60
25557119, 183186.805317, 192.0.85.1, 128.0.0.35, 60
25557120, 183186.805320, 192.0.85.1, 128.0.0.35, 60
25557868, 183206.829018, 192.0.85.1, 128.0.0.35, 60
25557869, 183206.829021, 192.0.85.1, 128.0.0.35, 60
25558628, 183226.850850, 192.0.85.1, 128.0.0.35, 60
25558629, 183226.850853, 192.0.85.1, 128.0.0.35, 60
25559342, 183246.863198, 192.0.85.1, 128.0.0.35, 60
25559343, 183246.863201, 192.0.85.1, 128.0.0.35, 60
25560451, 183266.893782, 192.0.85.1, 128.0.0.35, 60
25560452, 183266.893784, 192.0.85.1, 128.0.0.35, 60
25561238, 183281.115707, 192.0.85.1, 128.0.0.35, 75
25561239, 183281.115709, 192.0.85.1, 128.0.0.35, 75
25561551, 183286.929947, 192.0.85.1, 128.0.0.35, 60
25561552, 183286.930071, 192.0.85.1, 128.0.0.35, 60
25562670, 183306.958394, 192.0.85.1, 128.0.0.35, 60
25562671, 183306.958519, 192.0.85.1, 128.0.0.35, 60
25563795, 183326.980971, 192.0.85.1, 128.0.0.35, 60
25563796, 183326.980974, 192.0.85.1, 128.0.0.35, 60
25565100, 183347.022911, 192.0.85.1, 128.0.0.35, 60
25565101, 183347.022914, 192.0.85.1, 128.0.0.35, 60
25566441, 183367.032004, 192.0.85.1, 128.0.0.35, 60
25566442, 183367.032007, 192.0.85.1, 128.0.0.35, 60
25567525, 183387.061317, 192.0.85.1, 128.0.0.35, 60
25567526, 183387.061320, 192.0.85.1, 128.0.0.35, 60
25568927, 183407.108012, 192.0.85.1, 128.0.0.35, 60
25568928, 183407.108014, 192.0.85.1, 128.0.0.35, 60
25570383, 183427.110971, 192.0.85.1, 128.0.0.35, 60
25570384, 183427.110973, 192.0.85.1, 128.0.0.35, 60
25571737, 183447.109689, 192.0.85.1, 128.0.0.35, 60
25571738, 183447.109692, 192.0.85.1, 128.0.0.35, 60
25573077, 183467.138901, 192.0.85.1, 128.0.0.35, 60
25573078, 183467.138904, 192.0.85.1, 128.0.0.35, 60
25574606, 183487.162580, 192.0.85.1, 128.0.0.35, 60
25574607, 183487.162585, 192.0.85.1, 128.0.0.35, 60
25576040, 183507.167426, 192.0.85.1, 128.0.0.35, 60
25576041, 183507.167428, 192.0.85.1, 128.0.0.35, 60
25674626, 184177.333594, 192.0.85.1, 128.0.0.35, 76
25674627, 184177.333597, 192.0.85.1, 128.0.0.35, 76
25674674, 184177.794186, 192.0.85.1, 128.0.0.35, 60
25674675, 184177.794433, 192.0.85.1, 128.0.0.35, 60
25687130, 184336.089797, 192.0.85.1, 128.0.0.35, 70
25687131, 184336.089799, 192.0.85.1, 128.0.0.35, 70
